Andhra Pradesh,27
Assam,21
Chandigarh,3
Goa,2
Haryana,41
Jammu and Kashmir,12
Karnataka,59
Madhya Pradesh,53
Manipur,7
Mizoram,3
NCT of Delhi,24
Puducherry,4
Rajasthan,70
Tamil Nadu,53
Tripura,4
Uttarakhand,33
Arunachal Pradesh,9
Bihar,25
Chhattisgarh,23
Gujarat,67
Himachal Pradesh,25
Jharkhand,20
Kerala,20
Maharashtra,53
Meghalaya,9
Nagaland,4
Odisha,25
Punjab,30
Sikkim,7
Telangana,23
Uttar Pradesh,79
West Bengal,42
